progetto,proponente,procedura,info,doc,link_info,link_doc,stato_procedura,id,scadenza_osservazioni,avvio_istanza,province,comuni,regioni,tipologia
Parco Eolico denominato Luogosanto composto da 14 aerogeneratori e relative opere di connessione. per una potenza complessiva di 95.2 MW. localizzato nel Comune di Luogosanto (SS),Myt Eolo 1 S.r.l.,Valutazione Impatto Ambientale (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/10719,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/10719/15968,Verifica amministrativa,15968,,2024-03-01,Sassari,Luogosanto,Sardegna,Impianti eolici onshore
Progetto di un impianto agrivoltaico denominato PORTIERE STELLA. di potenza di pari a 27.014 MWp e delle relative opere di connessione alla RTN. da realizzarsi nel comune di Paternò (CT). in C.da Portiere Stella.,CHUB 2 S.R.L.,Valutazione Impatto Ambientale (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/10714,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/10714/15962,Verifica amministrativa,15962,,2024-02-29,Catania,Paterno,Sicilia,Fotovoltaici
Impianto eolico composto da 6 aerogeneratori con potenza complessiva di 36 MW e relative opere di connessione. denominato Su Casteddu. localizzato nel Comune di Ussassai (NU),D&D COSTRUZIONI S.R.L.,Valutazione Impatto Ambientale (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/10718,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/10718/15967,Verifica amministrativa,15967,,2024-02-29,Sud Sardegna,"Ussassai, Escalaplano, Esterzili",Sardegna,Impianti eolici onshore
Progetto di un parco eolico off-shore per la produzione di energia elettrica da fonte eolica nel Mare Adriatico Meridionale. denominato Nemetun Island. costituito da 63 aerogeneratori di potenza unitaria di 15 MW. per una potenza complessiva d'impianto pari a 945 MW. da realizzarsi di fronte ad un tratto di costa compreso tra i comuni di Vieste (FG) e Peschici (FG). con approdo del cavidotto marino nel Comune di Zapponeta (FG) e opere di connessione alla RTN ricadenti anche nei comuni di Trinitapoli (BT) e Cerignola (FG) (cod. MYTERNA n. 202201688).,Nemetun Island Wind S.r.l.,Valutazione Impatto Ambientale (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/10716,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/10716/15965,Verifica amministrativa,15965,,2024-02-29,Barletta,"Zapponeta, Peschici, Cerignola, Trinitapoli",Puglia,Impianti eolici offshore
Progetto di un impianto agrivoltaico denominato SOLARE RAMACCA FIUME GORNALUNGA. di potenza pari a 34.53 MW e delle relative opere di connessione alla RTN. da realizzarsi nel Comune di Ramacca (CT).,PODINI SpA,Valutazione Impatto Ambientale (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/10717,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/10717/15966,Verifica amministrativa,15966,,2024-02-29,Catania,Ramacca,Sicilia,Fotovoltaici
Collegamento stabile tra la Sicilia e la Calabria (C.U.P. C41C23002750005),Stretto di Messina S.p.A.,Verifica di Ottemperanza (Legge Obiettivo 443/2001),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/10711,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/10711/15971,Verifica amministrativa,15971,,2024-02-29,Reggio Calabria,"Curinga, Terranova Sappo Minulio, Limbadi, Torregrotta, Reggio Calabria, Lamezia Terme, Montebello Ionico, Scilla, Valdina, Milazzo, Oppido Mamertina, Nicotera, Calatabiano, Messina, Cardeto, Seminara, Saponara, Spadafora, Villa San Giovanni, Varapodio, Gioia Tauro, Giardini","Sicilia, Calabria",Opere ferroviarie
Progetto di un impianto eolico denominato Rocca Imperiale costituito da 9 aerogeneratori. per una potenza massima complessiva di 64.80 MW. integrato con un sistema di accumulo di 20.00 MW. e opere di connessione alla RTN. da realizzarsi nei Comuni di di Rocca Imperiale (CS). Montegiordano (CS). Canna (CS). Oriolo (CS). Roseto Capo Spulico (CS) e Amendolara (CS).,Fri-el S.p.a.,Valutazione Impatto Ambientale (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/10707,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/10707/15949,Verifica amministrativa,15949,,2024-02-28,Cosenza,"Canna, Montegiordano, Roseto Capo Spulico, Albidona, Rocca Imperiale, Oriolo, Alessandria del Carretto",Calabria,Impianti eolici onshore
Progetto di un impianto eolico denominato GAMBINO costituito da 6 aerogeneratori di potenza unitaria 6 MW. per una potenza complessiva di 36 MW e opere di connessione alla RTN. da realizzarsi nei Comuni di Buseto Palizzolo. Erice e Trapani (TP),AREN Green S.r.l.,Valutazione Impatto Ambientale (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/10706,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/10706/15947,Verifica amministrativa,15947,,2024-02-27,Trapani,"Buseto Palizzolo, Erice, Trapani",Sicilia,Impianti eolici onshore
Impianto agrivoltaico della potenza nominale di 17.08 MWp ed opere connesse da realizzarsi in area agricola dei Comuni di Furtei e Sanluri (SU),AV SANLURI SRL,Valutazione Impatto Ambientale (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/10712,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/10712/15960,Verifica amministrativa,15960,,2024-02-27,Cagliari,"Furtei, Sanluri",Sardegna,Fotovoltaici
Sistema interportuale di Jesi (ampliamento),Interporto Marche S.p.A.,Verifica di Ottemperanza,info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/164,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/164/15939,Conclusa,15939,,2024-02-27,Ancona,Jesi,Marche,Interporti
