id,regioni,tipologia
15968,Sardegna,Impianti eolici onshore
15962,Sicilia,Fotovoltaici
15967,Sardegna,Impianti eolici onshore
15965,Puglia,Impianti eolici offshore
15966,Sicilia,Fotovoltaici
15971,Sicilia,Opere ferroviarie
15971,Calabria,Opere ferroviarie
15949,Calabria,Impianti eolici onshore
15947,Sicilia,Impianti eolici onshore
15960,Sardegna,Fotovoltaici
15939,Marche,Interporti
15941,Puglia,Fotovoltaici
15938,Sicilia,Opere ferroviarie
15950,Basilicata,Impianti eolici onshore
15950,Puglia,Impianti eolici onshore
15951,Basilicata,Impianti eolici onshore
15963,Basilicata,Impianti eolici onshore
15952,Puglia,Impianti eolici onshore
15914,Sicilia,Opere stradali
15910,Emilia Romagna,Aeroporti
15927,Marche,Impianti eolici onshore
15969,Umbria,Metanodotti
15969,Marche,Metanodotti
15973,Lombardia,Opere ferroviarie
15973,Veneto,Opere ferroviarie
15924,Sicilia,Fotovoltaici
15920,Lazio,Opere ferroviarie
15945,Puglia,Opere ferroviarie
15945,Campania,Opere ferroviarie
15892,Puglia,Impianti eolici onshore
15906,Toscana,Metanodotti
15958,Emilia Romagna,Opere stradali
15903,Toscana,Fotovoltaici
15886,Puglia,Fotovoltaici
15915,Toscana,Risanamento ambientale
15887,Puglia,Impianti eolici onshore
15899,Sardegna,Fotovoltaici
15901,Sardegna,Fotovoltaici
15860,Liguria,Opere portuali e vie navigabili
15861,Lazio,Fotovoltaici
15861,Umbria,Fotovoltaici
15961,Sardegna,Opere portuali e vie navigabili
15876,Sicilia,Opere idrauliche
15878,Emilia Romagna,Fotovoltaici
15955,Emilia Romagna,Centrali
15889,Basilicata,Impianti eolici onshore
15888,Lazio,Opere idrauliche
15943,Sardegna,Impianti eolici onshore
15946,Liguria,Opere portuali e vie navigabili
15930,Basilicata,Impianti idroelettrici
15891,Basilicata,Fotovoltaici
15954,Sardegna,Opere idrauliche
15858,Puglia,Fotovoltaici
15824,Piemonte,Fotovoltaici
15824,Lombardia,Fotovoltaici
15926,Sardegna,Impianti eolici onshore
15931,Emilia Romagna,Fotovoltaici
15896,Sicilia,Fotovoltaici
15916,Calabria,Opere ferroviarie
15942,Sardegna,Impianti eolici onshore
15944,Sardegna,Opere portuali e vie navigabili
15935,Veneto,Fotovoltaici
15871,Puglia,Impianti eolici onshore
15902,Campania,Fotovoltaici
15937,Sardegna,Fotovoltaici
15921,Piemonte,Opere portuali e vie navigabili
15874,Puglia,Fotovoltaici
15786,Sardegna,Fotovoltaici
15776,Emilia Romagna,Centrali
15929,Friuli Venezia Giulia,Interporti
15904,Umbria,Metanodotti
15904,Marche,Metanodotti
15904,Toscana,Metanodotti
15917,Emilia Romagna,Metanodotti
15917,Toscana,Metanodotti
15864,Sardegna,Fotovoltaici
15932,Veneto,Opere ferroviarie
15909,Lazio,Impianti eolici offshore
15863,Puglia,Impianti eolici onshore
15911,Campania,Opere ferroviarie
15856,Sicilia,Fotovoltaici
15953,Liguria,Opere portuali e vie navigabili
15811,Sardegna,Opere portuali e vie navigabili
15739,Abruzzo,Opere portuali e vie navigabili
15928,Puglia,Fotovoltaici
15762,Friuli Venezia Giulia,Impianti idroelettrici
15855,Sicilia,Fotovoltaici
15885,Basilicata,Fotovoltaici
15741,Lazio,Fotovoltaici
15900,Sicilia,Opere ferroviarie
15850,Puglia,Fotovoltaici
15854,Puglia,Fotovoltaici
15755,Abruzzo,Impianti idroelettrici
15866,Puglia,Impianti eolici onshore
15795,Emilia Romagna,Metanodotti
15851,Campania,Fotovoltaici
15884,Calabria,Opere portuali e vie navigabili
15881,Lombardia,Aeroporti
15933,Liguria,Centrali
15754,Toscana,Fotovoltaici
15758,Basilicata,Opere ferroviarie
15882,Emilia Romagna,Metanodotti
15882,Toscana,Metanodotti
15922,Basilicata,Impianti di trattamento e stoccaggio temporaneo rifiuti radioattivi
15736,Emilia Romagna,Impianti di stoccaggio
15879,Campania,Opere portuali e vie navigabili
15848,Emilia Romagna,Fotovoltaici
15893,Lombardia,Opere ferroviarie
15898,Sardegna,Elettrodotti
15849,Sardegna,Fotovoltaici
15852,Sardegna,Impianti eolici onshore
15880,Liguria,Opere stradali
15840,Puglia,Fotovoltaici
15841,Veneto,Centrali
15867,Puglia,Impianti eolici offshore
15862,Umbria,Aeroporti
15839,Molise,Fotovoltaici
15844,Sardegna,Fotovoltaici
15822,Sicilia,Fotovoltaici
15857,Puglia,Metanodotti
15846,Veneto,Opere stradali
15847,Veneto,Opere stradali
15832,Sicilia,Fotovoltaici
15677,Sardegna,Fotovoltaici
15752,Emilia Romagna,Fotovoltaici
